Date,R[mm]
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,1.35
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,0.1
2015-03-24,2.5
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,0.6
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.0
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,0.0
2015-05-02,0.0
2015-05-03,6.85
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.4
2015-05-10,6.25
2015-05-11,0.0
2015-05-12,0.6499999999999999
2015-05-13,0.9
2015-05-14,0.0
2015-05-15,0.0
2015-05-16,0.0
2015-05-17,0.5
2015-05-18,16.9
2015-05-19,2.6500000000000004
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,16.15
2015-05-23,0.0
2015-05-24,24.15
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.05
2015-05-28,0.0
2015-05-29,0.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,1.15
2015-06-04,0.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,3.7
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,24.9
2015-06-12,0.0
2015-06-13,0.0
2015-06-14,2.1
2015-06-15,0.0
2015-06-16,41.05
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,0.0
2015-06-20,48.6
2015-06-21,0.05
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,4.949999999999999
2015-06-25,0.05
2015-06-26,0.0
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,1.75
2015-07-01,0.0
2015-07-02,0.1
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,1.05
2015-07-06,0.1
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,50.6
2015-07-10,5.85
2015-07-11,1.75
2015-07-12,0.0
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,14.5
2015-07-16,0.0
2015-07-17,0.1
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,38.8
2015-07-21,4.05
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-25,0.3
2015-07-26,31.15
2015-07-27,45.5
2015-07-28,0.5
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,1.1
2015-08-02,9.350000000000001
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,2.7
2015-08-06,6.0
2015-08-07,16.75
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,37.6
2015-08-11,1.95
2015-08-12,0.0
2015-08-13,7.6
2015-08-14,18.549999999999997
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,21.549999999999997
2015-08-18,0.55
2015-08-19,18.4
